order	time	location	type	details	lng	lat
617	20:52	Salmon Lane, London, UK	IB	2x1 paving damage	-0.033541	51.513767
618	20:53	38 Collingtree Road, SE26, London, UK	IB	Back room on ground floor and contents damaged	-0.056374	51.42907
620	20:54	5 Hermitage Lane, Streatham, SW16, London, UK	IB	Boot Repairer, IB burned out on roof.	-0.123337	51.41479
621	20:55	Stonhouse Street, Clapham, SW4, London, UK	EB	Roadway damaged, gas main fractured	-0.136999	51.463587
622	20:55	Alexandra Mansions, 140, Stonhouse Street, Clapham SW4, London, UK	EB	A building of three floors 40x30 damaged by explosion.	-0.136851	51.463366
623	20:55	Bellenden Road, Peckham, SE15, London, UK	EB	All damaged by explosion	-0.072641	51.468628
624	20:55	18-34 and 13-39 (inclusive) (23 buildings), London, UK	EB	All damaged by explosion	-0.07262	51.468634
626	20:55	Bellenden Road, Peckham, SE15, London, UK	EB	All damaged by explosion	-0.072641	51.468735
627	20:55	Putney Heath, Putney SW15, London, UK	IB	10x10 grass damaged	-0.229879	51.452422
628	20:56	52 and 54 Danby Street, Peckham SE15, London, UK	-	Minor fire and explosion damage	-0.074589	51.466281
630	20:56	160 Rye Lane Peckham, SE15, London, UK	-	Minor fire and explosion damage	-0.067493	51.468531
631	20:56	Southamton Way, Peckham SE15, London, UK	-	Minor fire and explosion damage	-0.077924	51.475143
632	20:56	19 St. George's Way, Peckham SE15, London, UK	-	Minor fire and explosion damage	-0.084689	51.48153
633	20:56	Choumert Road, peckham SE15, London, UK	-	Minor fire and explosion damage	-0.072104	51.467515
634	20:56	Harris Street, Camberwell SE5, London, UK	-	Minor fire and explosion damage	-0.086276	51.477791
635	20:56	Wells Way, Southwark, London SE5, United Kingdom, London, UK	-	Minor fire and explosion damage	-0.085441	51.481153
636	20:56	Bessemer Road, Camberwell, SE5, London, UK	EB	Kings College Hospital, main entrance and casualty ward damaged. 	-0.093786	51.468678
637	20:56	88 Kennington Park Road, Se11, London, UK	IB	Minor fire and explosion damage	-0.107169	51.487144
638	20:57	Westwood Park, Forest Hill, SE23, London, UK	IB	IB on enclosed ground 	-0.061403	51.445406
640	20:57	9 Colworth Grove, Browing Street, SE17, London, UK	IB	storeroom on ground floor damaged	-0.092867	51.488948
643	20:57	Browning Street, SE17, London, UK	IB	2x1 paving damage	-0.094724	51.490058
644	20:57	42 Braganza Street SE17, London, UK	IB	IB in yard	-0.10373	51.48732
645	20:57	77 Brook Drive, SE11, London, UK	EB	Buildings damaged	-0.108787	51.494711
647	20:58	22 Horniman Drive, Forest hill, SE23, London, UK	IB	Back room on 1st floor and contents damaged	-0.058257	51.444435
648	20:58	71 Casewick Road, West Norwood, Se27, London, UK	IB	2x1 grass burned in garden	-0.107712	51.428143
649	20:58	96 Longley Road Tooting, SW17, London, UK	IB	15x4 timer and iron store damaged	-0.1668	51.421101
650	20:58	125 Wavertree Road, Streatham hill, SW2, London, UK	IB	6x4 fence damaged	-0.117033	51.439748
651	20:59	Morval Road, Brixton, SW2, London, UK	IB	Lambeth Borough Council, Ib burned out in street	-0.111697	51.456229
652	20:59	Barrow Road, Streamtham, SW16, London, UK	EB	South Met Gas, Wandsworth Borough Counciland Met Water Bourd Buildings. Roadway damaged, gas and water mains fractured. 30x5 brick wall damaged	-0.13279	51.42152
653	20:59	Barrow Road, Streamtham, SW16, London, UK	EB	South Met Gas, Wandsworth Borough Counciland Met Water Bourd Buildings. Roadway damaged, gas and water mains fractured. 30x5 brick wall damaged	-0.133305	51.421219
654	20:59	Barrow Road, Streamtham, SW16, London, UK	EB	South Met Gas, Wandsworth Borough Counciland Met Water Bourd Buildings. Roadway damaged, gas and water mains fractured. 30x5 brick wall damaged	-0.133595	51.421085
655	20:59	Bladen Court, Barrow Road, SW16, London, UK	Eb	South Met Gas, Wandsworth Borough Counciland Met Water Bourd Buildings. Roadway damaged, gas and water mains fractured. 30x5 brick wall damaged	-0.130303	51.422505
656	21:00	Crescent Grove, Clapham, SW4, London, UK	-	Suspected presence of IB	-0.138051	51.459785
659	21:00	71 Graveney Road, tooting SW17, London, UK	IB	back rooms 1st floor damaged	-0.170079	51.429712
660	21:00	Brook Drive, Se11, London, UK	IB	2x1 paving damage	-0.106445	51.493924
